timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649937467404,294,contact/imgs/galaxy_s6.jpg-563,200,OK,Send Message Thread Group 3-1,bin,true,,107757,431,1,8,https://www.demoblaze.com/imgs/galaxy_s6.jpg,171,0,0
1649937467698,318,contact/imgs/sony_vaio_5.jpg-569,200,OK,Send Message Thread Group 3-1,bin,true,,90795,433,1,8,https://www.demoblaze.com/imgs/sony_vaio_5.jpg,160,0,0
1649937468016,281,contact/imgs/HTC_M9.jpg-568,200,OK,Send Message Thread Group 3-1,bin,true,,97258,428,1,8,https://www.demoblaze.com/imgs/HTC_M9.jpg,165,0,0
1649937468298,637,contact/imgs/Nexus_6.jpg-565,200,OK,Send Message Thread Group 3-1,bin,true,,232121,429,1,8,https://www.demoblaze.com/imgs/Nexus_6.jpg,399,0,0
1649937455090,14120,Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-1,,true,,55537,12993,8,9,null,0,66,1718
1649937455149,1530,/login-151,200,OK,Full Transaction Thread Group 2-1,text,true,,474,485,1,3,https://api.demoblaze.com/login,1529,0,1029
1649937456682,341,/view-202,200,OK,Full Transaction Thread Group 2-1,text,true,,787,452,1,3,https://api.demoblaze.com/view,340,0,0
1649937457023,385,/addtocart-205,200,OK,Full Transaction Thread Group 2-1,text,true,,331,544,2,4,https://api.demoblaze.com/addtocart,385,0,0
1649937457408,554,/addtocart-207,200,OK,Full Transaction Thread Group 2-1,text,true,,331,544,2,4,https://api.demoblaze.com/addtocart,554,0,0
1649937457962,1084,/index.html-208,200,OK,Full Transaction Thread Group 2-1,text,true,,19926,517,2,4,https://www.demoblaze.com/index.html,922,0,689
1649937459046,614,/addtocart-258,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,3,5,https://api.demoblaze.com/addtocart,614,0,0
1649937459660,403,/addtocart-260,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,3,5,https://api.demoblaze.com/addtocart,403,0,0
